SE-ARD-Probit-1,SE-ARD-Logit-1,SE-ARD-Probit-2,SE-ARD-Logit-2,SE-ARD-Probit-3,SE-ARD-Logit-3
0.92593,0.74074,0.77778,0.7037,0.81481,0.85185
0.77778,0.77778,0.85185,0.7037,0.66667,0.85185
0.81481,0.74074,0.66667,0.81481,0.77778,0.77778
0.81481,0.85185,0.88889,0.81481,0.96296,0.74074
0.7037,0.85185,0.74074,0.74074,0.81481,0.85185
0.88889,0.77778,0.81481,0.7037,0.7037,0.85185
0.81481,0.81481,0.74074,0.66667,0.74074,0.81481
0.66667,0.81481,0.7037,0.74074,0.88889,0.77778
0.81481,0.74074,0.77778,0.92593,0.85185,0.74074
0.81481,0.81481,0.88889,0.62963,0.77778,0.77778
0.92593,0.81481,0.66667,0.81481,0.85185,0.85185
0.81481,0.81481,0.81481,0.77778,0.74074,0.7037
0.85185,0.74074,0.85185,0.62963,0.77778,0.74074
0.92593,0.96296,0.77778,0.81481,0.85185,0.88889
0.85185,0.77778,0.85185,0.74074,0.74074,0.81481
0.77778,0.92593,0.88889,0.74074,0.77778,0.77778
0.77778,0.88889,0.81481,0.85185,0.77778,0.85185
0.88889,0.7037,0.62963,0.74074,0.77778,0.81481
0.77778,0.85185,0.62963,0.7037,0.66667,0.81481
0.74074,0.7037,0.81481,0.77778,0.85185,0.88889
